sample_size,trial,accuracy
100,1,0.91
100,2,0.88
100,3,0.91
100,4,0.9
100,5,0.92
100,6,0.98
100,7,0.91
100,8,0.93
100,9,0.84
100,10,0.95
200,1,0.9
200,2,0.92
200,3,0.9
200,4,0.87
200,5,0.84
200,6,0.92
200,7,0.93
200,8,0.91
200,9,0.905
200,10,0.905
500,1,0.904
500,2,0.918
500,3,0.898
500,4,0.896
500,5,0.91
500,6,0.906
500,7,0.906
500,8,0.902
500,9,0.908
500,10,0.896
1000,1,0.908
1000,2,0.908
1000,3,0.908
1000,4,0.908
1000,5,0.908
1000,6,0.908
1000,7,0.908
1000,8,0.908
1000,9,0.908
1000,10,0.909
