模型,准确率,精确率,召回率,F1分数,AUC-ROC,预测时间(秒)
BERT,0.9080919080919081,0.9076620825147348,0.9112426035502958,0.9094488188976378,0.9658944813102397,14.269793033599854
Logistic Regression,0.8861138861138861,0.8891089108910891,0.8856015779092702,0.8873517786561265,0.9548826549760838,0.00013113021850585938
SVM (Linear),0.8771228771228772,0.8764705882352941,0.8816568047337278,0.8790560471976401,0.9531158916864306,1.2118959426879883
Naive Bayes,0.8631368631368631,0.8838174273858921,0.8402366863905325,0.8614762386248737,0.9349910963115571,0.0001251697540283203
