模型,准确率,精确率,召回率,F1分数,训练时间(秒),预测时间(秒)
Logistic Regression,0.8861138861138861,0.8891089108910891,0.8856015779092702,0.8873517786561265,0.016952991485595703,0.00023794174194335938
SVM (Linear),0.8771228771228772,0.8764705882352941,0.8816568047337278,0.8790560471976401,75.01239085197449,1.2687528133392334
Naive Bayes,0.8631368631368631,0.8838174273858921,0.8402366863905325,0.8614762386248737,0.002692699432373047,0.00016689300537109375
Random Forest,0.8571428571428571,0.8729508196721312,0.8402366863905325,0.8562814070351759,0.48552799224853516,0.014250040054321289
